Selected Symptoms,Recommended IV
"Fatigued or Low on Energy, Jetlagged or Sleep Deprived, Want to Prevent Illness, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Jetlagged or Sleep Deprived, Looking to Optimize Performance, Need a Skin or Detox Reset",NAD+
"Fatigued or Low on Energy, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance",NAD+
"Fatigued or Low on Energy, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",NAD+
"Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness",Immunity Booster
"Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance",NAD+
"Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Need a Skin or Detox Reset",Myer’s Cocktail
"Sick or Recovering, Jetlagged or Sleep Deprived, Want to Prevent Illness, Looking to Optimize Performance",Immunity Booster
"Sick or Recovering, Jetlagged or Sleep Deprived, Want to Prevent Illness, Need a Skin or Detox Reset",Immunity Booster
"Sick or Recovering, Jetlagged or Sleep Deprived, Looking to Optimize Performance, Need a Skin or Detox Reset",NAD+
"Sick or Recovering, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance",Immunity Booster
"Sick or Recovering, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Need a Skin or Detox Reset",Myer’s Cocktail
"Sick or Recovering, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Sick or Recovering, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Immunity Booster
"Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance",NAD+
"Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Need a Skin or Detox Reset",Myer’s Cocktail
"Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Jetlagged or Sleep Deprived, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",NAD+
"Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness",Immunity Booster
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance",NAD+
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Want to Prevent Illness, Looking to Optimize Performance",Immunity Booster
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Want to Prevent Illness, Need a Skin or Detox Reset",Immunity Booster
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Looking to Optimize Performance, Need a Skin or Detox Reset",NAD+
"Fatigued or Low on Energy, Sick or Recovering, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance",Immunity Booster
"Fatigued or Low on Energy, Sick or Recovering, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Sick or Recovering, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Sick or Recovering, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Immunity Booster
"Fatigued or Low on Energy, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance",NAD+
"Fatigued or Low on Energy, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Jetlagged or Sleep Deprived, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",NAD+
"Fatigued or Low on Energy, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance",Immunity Booster
"Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Need a Skin or Detox Reset",Myer’s Cocktail
"Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Sick or Recovering, Jetlagged or Sleep Deprived, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Immunity Booster
"Sick or Recovering, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance",Immunity Booster
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Immunity Booster
"Fatigued or Low on Energy, Sick or Recovering, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
"Fatigued or Low on Energy, Sick or Recovering, Jetlagged or Sleep Deprived, Feeling 'Off' but Not Sure Why, Want to Prevent Illness, Looking to Optimize Performance, Need a Skin or Detox Reset",Myer’s Cocktail
